NAME,stenutz_name,boiling_point,location,size
TYPE,METADATA,METADATA,METADATA,METADATA
cas_number,,,,
106-93-4,"1,2-dibromoethane",132,,
540-36-3,"1,4-difluorobenzene",89,L2.08 Cupboard 1 Flammables,25g
543-59-9,1-chloropentane,105,L2.08 Cupboard 7 Flammables,100mL
565-80-0,"2,4-dimethyl-3-pentanone",124,L2.08 Cupboard 5 Flammables,250mL
75-65-0,2-methyl-2-propanol,82,L2.08 Cupboard 5 Flammables,1L
110-19-0,2-methylpropyl acetate,118,L2.08 Extraction room,250g
75-97-8,"3,3-dimethyl-2-butanone",106,L2.08 Cupboard 7 Flammables,100mL
96-22-0,3-pentanone,101,L2.08 Cupboard 1 Flammables,100mL
75-62-7,bromotrichloromethane,105,L2.08 Cupboard 4 Flammables,100g
71-36-3,butanol,118,L2.08 Cupboard 4 Flammables,100mL
120-92-3,cyclopentanone,131,L2.08 Cupboard 5 Flammables,250mL
100-41-4,ethylbenzene,136,New Location,100mL
64-18-6,formic acid,101,L2.08 Cupboard 5 Flammables,2.5L
142-82-5,heptane,98,L2.08 Cupboard 5 Flammables,1L
624-24-8,methyl pentanoate,127,L2.08 Cupboard 1 Flammables,100g
111-65-9,octane,126,L2.08 Cupboard 1 Flammables,100mL
110-89-4,piperidine,106,L2.08 Cupboard 4 Flammables,100mL
106-36-5,propyl propanoate,122,L2.08 Cupboard 1 Flammables,100g
110-86-1,pyridine,115,L2.08 Cupboard 2 Bases,100ml
78-92-2,2-butanol,100,L2.08 Glovebox,100mL
108-88-3,toluene,111,L2.08 Cupboard 5 Flammables,2.5L
105-58-8,diethyl carbonate,127,L2.08 Cupboard 5 Flammables,100mL
121-44-8,triethylamine,90,L2.08 Cupboard 5 Flammables,500mL
616-38-6,dimethyl carbonate,90,New Location,100g
110-82-7,cyclohexane,81,L2.08 Cupboard 5 Flammables,100mL
540-84-1,"2,2,4-trimethylpentane",99,L2.08 Cupboard 5 Flammables,100mL
78-83-1,2-methyl-1-propanol,108,L2.08 Cupboard 7 Flammables,100mL
123-86-4,butyl acetate,126,New Location,100mL
