NAME,stenutz_name,boiling_point,location
TYPE,METADATA,METADATA,METADATA
cas_number,,,
75-62-7,bromotrichloromethane,105,L2.08 Cupboard 4 Flammables
100-41-4,ethylbenzene,136,New Location
543-59-9,1-chloropentane,105,L2.08 Cupboard 7 Flammables
106-93-4,"1,2-dibromoethane",132,L2.08 Cupboard 5 Flammables
106-93-4,"1,2-dibromoethane",132,L2.08 Cupboard 5 Flammables
624-24-8,methyl pentanoate,127,L2.08 Cupboard 1 Flammables
106-93-4,"1,2-dibromoethane",132,L2.08 Cupboard 5 Flammables
71-36-3,butanol,118,L2.08 Cupboard 4 Flammables
