,exposure_limits,hazards,reactivity
0,Ca TWA 0.045 ppm C 0.13 ppm [15-minute] See Appendix A,"['H301: Toxic if swallowed [Danger Acute toxicity, oral]', 'H311: Toxic in contact with skin [Danger Acute toxicity, dermal]', 'H315: Causes skin irritation [Warning Skin corrosion/irritation]', 'H319: Causes serious eye irritation [Warning Serious eye damage/eye irritation]', 'H331: Toxic if inhaled [Danger Acute toxicity, inhalation]', 'H335: May cause respiratory irritation [Warning Specific target organ toxicity, single exposure; Respiratory tract irritation]', 'H350: May cause cancer [Danger Carcinogenicity]', 'H411: Toxic to aquatic life with long lasting effects [Hazardous to the aquatic environment, long-term hazard]']",
1,Ca See Appendix A,"['H225: Highly Flammable liquid and vapor [Danger Flammable liquids]', 'H302: Harmful if swallowed [Warning Acute toxicity, oral]', 'H332: Harmful if inhaled [Warning Acute toxicity, inhalation]', 'H350: May cause cancer [Danger Carcinogenicity]']","1,2-DICHLOROPROPANE reacts with strong oxidizers and strong acids. It also reacts with aluminum. When confined, this reaction can lead to an explosion. It is incompatible with bases and aluminum alloys. It will attack some forms of plastics, rubber and coatings. (NTP, 1992)"
2,No indication can be given about the rate at which a harmful concentration of this substance in the air is reached on evaporation at 20 °C.,"['H225: Highly Flammable liquid and vapor [Danger Flammable liquids]', 'H332: Harmful if inhaled [Warning Acute toxicity, inhalation]', 'H360FD: May damage fertility; May damage the unborn child [Danger Reproductive toxicity]']","When the solvent, 1,2-DIMETHOXYETHANE, was poured into a funnel previously used to introduce the lithium aluminum hydride, a fire ignited the funnel [MCA Case History 1182(1966)]."
3,,"['Reported as not meeting GHS hazard criteria by 1 of 40 companies. For more detailed information, please visit  ECHA C&L website', 'Of the 5 notification(s) provided by 39 of 40 companies with hazard statement code(s):', 'H224 (76.92%): Extremely flammable liquid and vapor [Danger Flammable liquids]', 'H225 (20.51%): Highly Flammable liquid and vapor [Danger Flammable liquids]', 'H319 (10.26%): Causes serious eye irritation [Warning Serious eye damage/eye irritation]']",
4,"Protective goggles or face shield; rubber gloves. (USCG, 1999)","['H225 (100%): Highly Flammable liquid and vapor [Danger Flammable liquids]', 'H242 (14.29%): Heating may cause a fire [Danger Self-reactive substances and mixtures; Organic peroxides]', 'H302 (85.71%): Harmful if swallowed [Warning Acute toxicity, oral]', 'H312 (85.71%): Harmful in contact with skin [Warning Acute toxicity, dermal]', 'H332 (85.71%): Harmful if inhaled [Warning Acute toxicity, inhalation]']","AMYL CHLORIDE is incompatible with strong oxidizing and reducing agents. Also, incompatible with many amines, nitrides, azo/diazo compounds, alkali metals, and epoxides."
5,,"['H225: Highly Flammable liquid and vapor [Danger Flammable liquids]', 'H332: Harmful if inhaled [Warning Acute toxicity, inhalation]']",
6,TWA 0.1 ppm (0.3 mg/m3) [skin],"['H226: Flammable liquid and vapor [Warning Flammable liquids]', 'H302: Harmful if swallowed [Warning Acute toxicity, oral]', 'H312: Harmful in contact with skin [Warning Acute toxicity, dermal]', 'H332: Harmful if inhaled [Warning Acute toxicity, inhalation]', 'H360FD: May damage fertility; May damage the unborn child [Danger Reproductive toxicity]']","ETHYLENE GLYCOL MONOMETHYL ETHER is incompatible with oxygen and strong oxidizing agents. Contact with bases may result in decomposition. Incompatible with acid chlorides and acid anhydrides. (NTP, 1992). It forms explosive peroxides."
7,TWA 100 ppm (300 mg/m3) ST 150 ppm (450 mg/m3),"['H225: Highly Flammable liquid and vapor [Danger Flammable liquids]', 'H319: Causes serious eye irritation [Warning Serious eye damage/eye irritation]', 'H332: Harmful if inhaled [Warning Acute toxicity, inhalation]', 'H335: May cause respiratory irritation [Warning Specific target organ toxicity, single exposure; Respiratory tract irritation]']","Attacks plastics. [Handling Chemicals Safely 1980. p. 236]. Acetyl bromide reacts violently with alcohols or water [Merck 11th ed. 1989]. Mixtures of alcohols with concentrated sulfuric acid and strong hydrogen peroxide can cause explosions. Example: an explosion will occur if dimethylbenzylcarbinol is added to 90% hydrogen peroxide then acidified with concentrated sulfuric acid. Mixtures of ethyl alcohol with concentrated hydrogen peroxide form powerful explosives. Mixtures of hydrogen peroxide and 1-phenyl-2-methyl propyl alcohol tend to explode if acidified with 70% sulfuric acid [Chem. Eng. News 45(43):73 1967; J, Org. Chem. 28:1893 1963]. Alkyl hypochlorites are violently explosive. They are readily obtained by reacting hypochlorous acid and alcohols either in aqueous solution or mixed aqueous-carbon tetrachloride solutions. Chlorine plus alcohols would similarly yield alkyl hypochlorites. They decompose in the cold and explode on exposure to sunlight or heat. Tertiary hypochlorites are less unstable than secondary or primary hypochlorites [NFPA 491 M 1991]. Base-catalysed reactions of isocyanates with alcohols should be carried out in inert solvents. Such reactions in the absence of solvents often occur with explosive violence [Wischmeyer 1969]."
8,TWA 150 ppm (700 mg/m3),"['Reported as not meeting GHS hazard criteria by 105 of 1886 companies. For more detailed information, please visit  ECHA C&L website', 'Of the 24 notification(s) provided by 1781 of 1886 companies with hazard statement code(s):', 'H225 (100%): Highly Flammable liquid and vapor [Danger Flammable liquids]', 'H336 (12.91%): May cause drowsiness or dizziness [Warning Specific target organ toxicity, single exposure; Narcotic effects]']",ISOBUTYL ACETATE reacts exothermically with acids to give alcohols and other acids. May react sufficiently exothermically with strong oxidizing acids to ignite the reaction products. Reactions with bases also generate heat. Combination with strong reducing agents (alkali metals and hydrides) generates flammable hydrogen.
9,"/GUIDE 127: FLAMMABLE LIQUIDS (POLAR/WATER-MISCIBLE)/ Fire or Explosion: HIGHLY FLAMMABLE: Will be easily ignited by heat, sparks or flames. Vapors may form explosive mixtures with air. Vapors may travel to source of ignition and flash back. Most vapors are heavier than air. They will spread along ground and collect in low or confined areas (sewers, basements, tanks). Vapor explosion hazard indoors, outdoors or in sewers. Those substances designated with a ""P"" may polymerize explosively when heated or involved in a fire. Runoff to sewer may create fire or explosion hazard. Containers may explode when heated. Many liquids are lighter than water.","['Reported as not meeting GHS hazard criteria by 4 of 100 companies. For more detailed information, please visit  ECHA C&L website', 'Of the 10 notification(s) provided by 96 of 100 companies with hazard statement code(s):', 'H225 (67.71%): Highly Flammable liquid and vapor [Danger Flammable liquids]', 'H302 (98.96%): Harmful if swallowed [Warning Acute toxicity, oral]', 'H319 (31.25%): Causes serious eye irritation [Warning Serious eye damage/eye irritation]', 'H332 (62.5%): Harmful if inhaled [Warning Acute toxicity, inhalation]', 'H335 (54.17%): May cause respiratory irritation [Warning Specific target organ toxicity, single exposure; Respiratory tract irritation]', 'H412 (45.83%): Harmful to aquatic life with long lasting effects [Hazardous to the aquatic environment, long-term hazard]']",
