cas_number,solubility
98-07-7,-5.34824981
111-78-4,-6.31079748
5194-51-4,-6.592425
98-87-3,-0.80844689
2004-70-8,-6.13529611
627-26-9,-1.09045788
592-47-2,-7.93735568
71-55-6,-5.27942716
354-58-5,-8.44757331
79-27-6,0
79-34-5,0
76-13-1,-8.60960956
79-00-5,0.34075847
75-34-3,-1.44726724
75-35-4,-4.26169775
105-57-7,-4.47307242
462-95-3,-4.20341895
634-66-2,-3.74686944
488-23-3,-6.47111433
56-81-5,0
496-11-7,-6.04904278
96-18-4,-1.28950063
120-82-1,-3.2850413
107-15-3,0
106-93-4,-2.22432513
95-50-1,-4.55775574
107-06-2,-2.00436379
78-87-5,-3.3376337
367-11-3,-4.21368921
91-16-7,-3.27670527
110-71-4,-2.89115232
95-47-6,-5.9361225
103-29-7,-5.14969241
57-55-6,0
470-82-6,-5.04216013
108-67-8,-6.44774121
592-57-4,-6.07649093
108-36-1,-3.86615258
541-73-1,-4.06456089
142-28-9,-3.75346796
372-18-9,-3.41779325
108-38-3,-6.06999953
7226-23-5,-1.71615275
96-49-1,0.01472521
628-41-1,-6.08210946
106-37-6,-3.61298935
110-52-1,-3.84988678
106-46-7,-3.79088865
110-56-5,-4.11197174
540-36-3,-3.56603434
106-42-3,-6.09088356
628-76-2,-4.46130796
107-04-0,-2.14488813
78-77-3,-5.72141417
107-82-4,-5.87366038
109-65-9,-5.60832451
143-15-7,-7.14110321
629-04-9,-6.36289112
111-25-1,-6.15106789
90-11-9,-4.83938203
111-83-1,-6.55757372
110-53-2,-5.89180785
106-94-5,-5.24398966
106-89-8,-1.71889727
95-49-8,-5.46407086
513-36-0,-5.90176114
107-84-6,-5.93387993
109-69-3,-5.82472425
544-10-5,-6.33103961
90-13-1,-4.9201293
111-85-3,-6.71055469
543-59-9,-6.10590545
540-54-5,-5.42799812
112-53-8,0
622-96-8,-6.39034183
111-31-9,-3.70678857
592-41-6,-7.78594893
542-69-8,-5.70299937
638-45-9,-6.22028834
628-17-1,-5.97647746
107-08-4,-5.37753407
578-58-5,-5.06000357
100-84-5,-4.75279032
104-93-8,-4.75760213
90-12-0,-5.31711897
108-03-2,-2.005078
111-66-0,-8.0124387
110-66-7,-3.46275402
109-67-1,-7.49263679
93-55-0,-3.27236768
464-06-2,-9.45509265
594-20-7,-5.31105763
75-83-2,-9.50446279
590-35-2,-9.52689221
463-82-1,-9.42091358
771-56-2,-7.17565707
513-81-5,-6.7995291
565-59-3,-9.57154769
123-63-7,-3.1405516
108-75-8,-3.25712455
565-80-0,-4.25062002
95-68-1,0
108-08-7,-9.56497533
108-47-4,-2.64604227
123-54-6,-1.56090702
108-83-8,-4.71326543
108-48-5,-2.90753913
111-41-1,0
141-43-5,0
78-76-2,-5.69879452
75-26-3,-5.11512957
111-76-2,0
507-20-0,-5.68374263
95-51-2,0
78-86-4,-5.84955852
100-70-9,-0.61917998
110-80-5,0
110-43-0,-3.52629211
591-78-6,-3.24436898
75-30-9,-5.2238546
1634-04-4,-4.39497552
90-04-0,0
109-86-4,0
