NAME,conversion,de,batch
TYPE,DATA,DATA,METADATA
solvent,,,
56-81-5,32.71957203499664,44.99881511576599,0
98-82-8,55.102604513178555,73.10442524776613,0
67-63-0,70.06904600825114,84.80728064000076,0
67-64-1,81.12088295339801,89.6931307578848,0
107-21-1,54.35899096502007,83.9853979146309,0
109-60-4,74.81491736979203,87.7020021314904,0
111-87-5,43.61880713131839,63.34723487866669,0
126-33-0,81.34029964389931,92.77132398445994,0
75-05-8,81.64867037868515,91.07201288416786,1
107-06-2,67.07355426801747,83.86667309032589,1
71-23-8,69.97136548286771,84.51793853445592,1
110-71-4,76.38542915763706,88.2001574956123,1
109-86-4,74.30726141461045,88.58140239929492,2
68-12-2,81.33030636555262,92.24759501038515,2
108-32-7,77.2334362468564,95.57134227667571,2
57-55-6,58.533132826382285,82.44971745198853,2
7226-23-5,71.04957255208839,93.09009426573256,3
96-49-1,79.85552886841862,93.32343383465869,3
109-69-3,67.69715601086013,81.98431328452772,3
127-19-5,79.21060594580604,92.35706383795171,3
67-68-5,43.7409937167318,99.02583093650075,4
108-75-8,63.67406795008311,83.78972726992119,4
591-78-6,74.67852958821888,88.19773312078219,4
123-91-1,74.50578061436286,88.28481619931044,4
7732-18-5,66.17234842375656,84.20529228392837,5
1634-04-4,69.93767987062118,83.15818650135802,5
75-85-4,64.12345033786085,81.33029198336995,5
108-88-3,61.04994124753067,77.57941562533095,5
75-65-0,66.34241575224543,83.01030342443684,6
110-19-0,72.95002132884532,86.80008322933807,6
75-15-0,55.19709053365786,70.63654058708396,6
96-47-9,71.54424039347462,84.59698030051558,6
108-93-0,54.25930016100593,75.25413870965548,7
123-51-3,70.34935791730625,85.58264466046602,7
108-24-7,79.16044014330264,91.68520905177812,7
71-43-2,62.758503488136995,78.93063614289939,7
75-52-5,76.91897958671858,90.80016319668346,8
100-51-6,49.76103360518724,75.75611498985991,8
71-36-3,65.70631166391509,82.33223171939089,8
108-90-7,63.05194577439824,80.84122859329305,8
