batch_size,design_criterion,num_initial_experiments,random_rate,coverages
4,center,8,0.0,86.94±8.0%
8,center,8,0.0,82.86±9.0%
4,maximin,8,0.0,85.31±7.0%
8,maximin,8,0.0,84.08±9.0%
4,center,16,0.0,91.43±9.0%
8,center,16,0.0,84.9±13.0%
4,maximin,16,0.0,93.06±8.0%
8,maximin,16,0.0,84.08±15.0%
4,center,8,0.5,90.61±9.0%
8,center,8,0.5,87.76±8.0%
4,maximin,8,0.5,88.16±8.0%
8,maximin,8,0.5,85.71±9.0%
4,center,16,0.5,92.24±11.0%
8,center,16,0.5,88.98±13.0%
4,maximin,16,0.5,93.88±9.0%
8,maximin,16,0.5,89.39±13.0%
4,maximin,8,0.2,90.61±8.0%
4,maximin,8,0.4,89.8±9.0%
4,maximin,8,0.6,89.8±8.0%
4,maximin,8,0.8,88.98±10.0%
4,maximin,8,1.0,89.8±12.0%
