NAME,conversion,de,solvent,batch
TYPE,DATA,DATA,DATA,METADATA
0,56.408818233668576,82.08434586550139,141-78-6,0.0
1,59.96303724621016,81.7313710220598,107-21-1,0.0
2,53.96234511151754,65.93796307191388,76-05-1,0.0
3,65.36739925184239,85.85797482185541,96-49-1,0.0
4,53.99268161559287,81.05728229013691,75-52-5,0.0
5,56.85580262454598,87.75317722415946,105-58-8,0.0
6,76.44423580861385,82.06919691511632,100-51-6,0.0
7,77.03505227618939,83.54337071139315,111-87-5,0.0
8,44.149029992726376,67.54637735818501,7732-18-5,1.0
9,52.37860322804019,79.60798203068201,75-15-0,1.0
10,55.746163188542305,72.9856148113447,64-18-6,1.0
11,55.465306092721825,89.32576600713085,109-66-0,1.0
12,64.230088450991,83.94726936101678,111-70-6,1.0
13,51.397398442807855,81.97898687826375,108-87-2,1.0
14,60.36260200289613,87.23521113239153,102-76-1,1.0
15,50.89623420058449,75.36880662023391,67-66-3,1.0
16,63.710313770345515,78.40286065172322,68-12-2,2.0
17,48.84553854243609,77.75175755487437,75-05-8,2.0
18,50.047847322372604,74.44309756590607,67-64-1,2.0
19,51.645558171673215,80.19179478950952,109-94-4,2.0
20,96.44840992037815,75.55819605191267,56-81-5,2.0
21,53.184127395826145,85.8789553145757,75-65-0,2.0
22,52.44439800128963,78.23953906859985,142-82-5,2.0
23,36.036321106581404,74.64218737297148,107-31-3,2.0
24,73.88070904834606,83.10987650926074,108-32-7,3.0
25,61.79240866793933,80.67382747127138,108-93-0,3.0
26,60.93290086053167,83.25708408298944,57-55-6,3.0
27,49.714469885342176,79.82201329070014,78-93-3,3.0
28,57.10675843031026,79.06215196012322,540-84-1,3.0
29,61.728913523656686,82.78709025512087,98-82-8,3.0
30,55.99309785519368,87.539901540012,108-90-7,3.0
31,47.60640123691584,85.49435394481681,71-36-3,3.0
