Abbreviation,MW (g/mol),Density (g/mL),CAS Number,Supplier,,,,
t-BuXPhos,686.69,-,1142811-12-8,Sigma-Alddrich (Merck),,,,
t-BuBrettPhos,854.43,-,1536473-72-9,Sigma-Alddrich (Merck),,,,
AlPhos,815.06,-,2097600-15-0 ,Sigma-Alddrich (Merck),,,,
p-Tolyl trifluoromethanesulfonate,240.2,-,29540-83-8,TCI Chemicals,,,,
Anniline,93.13,1.022,62-53-3 ,Sigma-Alddrich (Merck),,,,
TEA ,101.19,0.726,121-44-8 ,Millipore-Sigma ,,,,
TMG ,115.18,0.918,80-70-6 ,BetaPharma ,,,,
BTMG ,171.28,0.85,29166-72-1 ,BetaPharma ,,,,
DBU ,152.24,1.018,6674-22-2 ,ChemShuttle ,,,,
MTBD ,153.22,1.067,84030-20-6 ,Enamine BB ,,,,
BTTP ,312.43,1.022,161118-67-8 ,Millipore-Sigma ,,,,
P2Et ,339.4,1.02,165535-45-5 ,Millipore-Sigma ,,,,
