stenutz_name,cosmo_name,chemical_formula,cas_number,molecular_weight,density,molar_volume,refractive_index,molecular_refractive_power,dielectric_constant,dipole_moment,melting_point,boiling_point,viscosity,partition_coefficient,vapour_pressure,sigma_1,sigma_2,sigma_3,sigma_4,sigma_5
(trichloromethyl)benzene,(trichloromethyl)-benzene,C7H5Cl3,98-07-7,195,1.173,166.6,1.557,53.67,6.9,2.14,-4,220,1.85,3.68,0.2,0.2054,18.7984,0,0,3.2973
"(1Z,5Z)-cycloocta-1,5-diene","1,5-cyclooctadiene",C8H12,111-78-4,108,0.88,122.9,1.493,35.73,2.38,0.17,-69,148,1,2.98,8.87,0,15.2165,0.4711,0,0.9742
"(2E,4E)-2,4-hexadiene","trans,trans-2,4-hexadiene",C6H10,5194-51-4,82,0.727,112.9,1.456,30.7,2.22,0.36,-79,79,0.37,3.05,225.18,0,14.9023,0.0451,0,1.3634
(dichloromethyl)benzene,(dichloromethyl)-benzene,C7H6Cl2,98-87-3,161,1.25,128.8,1.55,41.04,6.9,2.05,-16,205,1.99,2.94,0.24,0.8684,16.7703,0,0.0081,3.8876
"(E)-1,3-pentadiene",1-trans-3-pentadiene,C5H8,2004-70-8,68,0.683,99.7,1.43,25.77,2.32,0.68,-87,42,0.3,2.47,702.08,0,12.8734,0.0397,0,1.8346
(E)-2-butenenitrile,(e)-2-butenenitrile,C4H5N,627-26-9,67,0.823,81.6,1.416,20.47,28.1,4.5,-52,122,0.5,0.18,18.14,0.469,10.1085,1.3074,0,2.9768
(Z)-3-hexene,cis-3-hexene,C6H12,592-47-2,84,0.678,124.1,1.394,29.67,2.06,0.34,-138,66,0.33,3.35,318.26,0,14.8632,0.1899,0,0.5181
"1,1,1-trichloroethane",glycerol,C2H3Cl3,71-55-6,133,1.338,99.7,1.438,26.17,7.25,1.9,-30,74,0.39,2.45,73.59,0.2623,13.0416,0,0,2.1596
"1,1,1-trichlorotrifluoroethane","1,1,1-trichloro-2,2,2-trifluoroethane",C2Cl3F3,354-58-5,187,1.566,119.7,1.36,26.41,2.44,0.74,14,46,0.27,3.17,504.26,0.0287,14.8904,0,0,1.0688
"1,1,2,2-tetrabromoethane","1,1,2,2-tetrabromoethane",C2H2Br4,79-27-6,346,2.967,116.5,1.628,41.34,7,1.57,0,244,1.76,2.98,0.06,1.486,15.3049,0,0.319,2.4911
"1,1,2,2-tetrachloroethane","1,1,2,2-tetrachloroethane",C2H2Cl4,79-34-5,168,1.59,105.6,1.494,30.71,8.42,1.33,-44,144,0.72,2.46,5.48,1.6129,13.4114,0,0.3646,1.6833
"1,1,2-trichloro-1,2,2-trifluoroethane","1,1,2-trichloro-1,2,2-trifluoroethane",C2Cl3F3,76-13-1,187,1.564,119.8,1.356,26.16,2.41,0.86,-35,48,0.28,3.2,509.96,0.0058,14.9261,0,0,0.9368
"1,1,2-trichloroethane","1,1,2-trichloroethane",C2H3Cl3,79-00-5,133,1.443,92.4,1.471,25.84,7.28,1.36,-37,114,0.63,1.95,19.58,1.7766,11.7278,0,0.0155,2.6467
"1,1-dichloroethane","1,1-dichloroethane",C2H4Cl2,75-34-3,99,1.176,84.1,1.416,21.12,10,2.35,-97,57,0.38,1.73,161.66,0.7211,10.9207,0,0,2.5644
"1,1-dichloroethene","1,1-dichloroethylene",C2H2Cl2,75-35-4,97,1.175,82.5,1.425,21.1,4.67,1.25,-123,32,0.26,2.15,757.54,0.5073,10.7452,0,0,1.5707
